feature,load_sensitivity
tf_cwt_scale_entropy,503.2701983416247
freq_spectral_flatness,294.34281471703974
freq_spectral_skewness,282.2211036565337
time_peak,271.7793849415969
time_crest_factor,271.7793849415966
time_peak_to_peak,270.54963124469805
time_impulse_factor,257.2291493726931
time_clearance_factor,254.3528980467926
time_margin_factor,254.3528980467926
time_shape_factor,217.71877068691867
time_kurtosis,203.93831603245187
freq_roll_off_95,196.64095701465894
tf_stft_entropy,177.6769894303578
time_hjorth_mobility,168.645271291287
freq_peak_frequency,153.13876966699527
freq_spectral_entropy,136.89745415034272
freq_spectral_mean,132.2124697968235
tf_cwt_dominant_frequency,127.60688107411706
freq_spectral_std,83.98656491767976
freq_bandwidth,83.98656491767976
time_zero_crossings,75.14697241674793
time_hjorth_complexity,63.67336999430002
freq_spectral_var,51.18058798519922
time_skewness,29.138899404383494
freq_spectral_kurtosis,24.903455627339206
freq_envelope_peak_frequency,2.157064554918048
tf_stft_energy,0.854469910971068
time_mean,4.2016930335991687e-22
time_rms,0.0
time_variance,0.0
time_std,0.0
time_energy,0.0
time_hjorth_activity,0.0
tf_emd_imf_count,0.0
tf_emd_energy_ratio,0.0
tf_emd_hilbert_energy,0.0
